場所,芝ダ,距離,母父馬,母数,勝利数,複勝数,単勝率,複勝率,補正複勝率
中京,ダ,1200,Adios Charlie,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Awesome Again,2,0,0,0.0,0.0,0.2
中京,ダ,1200,Big Brown,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Broken Vow,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Came Home,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Carson City,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Combat Ready,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Concern,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Corinthian,2,0,0,0.0,0.0,0.2
中京,ダ,1200,Country Reel,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Cowboy Cal,1,1,1,1.0,1.0,0.5
中京,ダ,1200,Dixie Union,2,0,1,0.0,0.5,0.4
中京,ダ,1200,Dylan Thomas,2,1,1,0.5,0.5,0.4
中京,ダ,1200,Dynaformer,1,0,0,0.0,0.0,0.25
中京,ダ,1200,El Prado,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Elusive Quality,1,0,0,0.0,0.0,0.25
中京,ダ,1200,End Sweep,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Fasliyev,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Freud,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Galileo,2,0,1,0.0,0.5,0.4
中京,ダ,1200,Gone West,4,1,1,0.25,0.25,0.285714
中京,ダ,1200,High Chaparral,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Honour and Glory,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Horse Chestnut,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Hurricane Run,1,0,1,0.0,1.0,0.5
中京,ダ,1200,Kingmambo,2,1,1,0.5,0.5,0.4
中京,ダ,1200,Manduro,2,0,0,0.0,0.0,0.2
中京,ダ,1200,Mayakovsky,1,0,1,0.0,1.0,0.5
中京,ダ,1200,Medaglia d'Oro,2,0,0,0.0,0.0,0.2
中京,ダ,1200,Midnight Lute,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Midshipman,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Motivator,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Mr. Greeley,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Mt. Livermore,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Munnings,1,1,1,1.0,1.0,0.5
中京,ダ,1200,Not For Love,1,1,1,1.0,1.0,0.5
中京,ダ,1200,Not For Sale,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Noverre,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Oasis Dream,4,0,2,0.0,0.5,0.428571
中京,ダ,1200,Old Fashioned,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Polish Pro,1,0,0,0.0,0.0,0.25
中京,ダ,1200,Pulpit,2,0,1,0.0,0.5,0.4
中京,ダ,1200,Put It Back,2,0,1,0.0,0.5,0.4
中京,ダ,1200,Red Ransom,1,0,1,0.0,1.0,0.5
中京,ダ,1200,Redoute's Choice,1,0,0,0.0,0.0,0.25
