場所,芝・ダ,距離,内容,母数,勝利数,複勝数,条件,単勝率,複勝率,順位,ランク
中京,ダ,1200,京都,35,4,7,前走場所,0.1143,0.2,1,S
中京,ダ,1200,東京,29,3,6,前走場所,0.1034,0.2069,2,A
中京,ダ,1200,新潟,52,5,13,前走場所,0.0962,0.25,3,A
中京,ダ,1200,小倉,48,4,10,前走場所,0.0833,0.2083,4,A
中京,ダ,1200,中京,137,9,27,前走場所,0.0657,0.1971,5,B
中京,ダ,1200,阪神,138,9,29,前走場所,0.0652,0.2101,6,B
中京,ダ,1200,中山,50,2,10,前走場所,0.04,0.2,7,B
中京,ダ,1200,福島,41,1,5,前走場所,0.0244,0.122,8,B
中京,ダ,1200,浦和,1,0,1,前走場所,0.0,1.0,9,B
中京,ダ,1200,函館,2,0,1,前走場所,0.0,0.5,10,B
中京,ダ,1200,園田,11,0,2,前走場所,0.0,0.1818,11,C
中京,ダ,1200,札幌,14,0,1,前走場所,0.0,0.0714,12,C
中京,ダ,1200,川崎,3,0,0,前走場所,0.0,0.0,13,C
中京,ダ,1200,門別,2,0,0,前走場所,0.0,0.0,14,C
中京,ダ,1200,佐賀,1,0,0,前走場所,0.0,0.0,15,C
中京,ダ,1200,名古,1,0,0,前走場所,0.0,0.0,16,C
中京,ダ,1200,大井,1,0,0,前走場所,0.0,0.0,17,D
中京,ダ,1200,姫路,1,0,0,前走場所,0.0,0.0,18,D
中京,ダ,1200,盛岡,1,0,0,前走場所,0.0,0.0,19,D
中京,ダ,1200,笠松,1,0,0,前走場所,0.0,0.0,20,D
中京,ダ,1200,金沢,1,0,0,前走場所,0.0,0.0,21,D
中京,ダ,1200,逃げ切り,37,6,17,勝ち方,0.1622,0.4595,1,S
中京,ダ,1200,先行押し切り,135,16,45,勝ち方,0.1185,0.3333,2,B
中京,ダ,1200,差し,211,10,31,勝ち方,0.0474,0.1469,3,C
中京,ダ,1200,追い込み,185,5,19,勝ち方,0.027,0.1027,4,D
中京,ダ,1200,逃げ,37,6,17,脚質,0.1622,0.4595,1,S
中京,ダ,1200,先行,135,16,45,脚質,0.1185,0.3333,2,C
中京,ダ,1200,差し,396,15,50,脚質,0.0379,0.1263,3,D
中京,ダ,1200,リーチザクラウン,1,1,1,血統,1.0,1.0,1,S
中京,ダ,1200,トゥザグローリー,5,2,3,血統,0.4,0.6,2,A
中京,ダ,1200,アメリカンペイトリオット,3,1,2,血統,0.3333,0.6667,3,A
中京,ダ,1200,ビッグアーサー,6,2,2,血統,0.3333,0.3333,4,A
中京,ダ,1200,Maclean's Music,4,1,3,血統,0.25,0.75,5,A
中京,ダ,1200,Into Mischief,4,1,2,血統,0.25,0.5,6,A
中京,ダ,1200,エピファネイア,4,1,1,血統,0.25,0.25,7,A
中京,ダ,1200,ディープインパクト,4,1,1,血統,0.25,0.25,8,A
中京,ダ,1200,フリオーソ,4,1,1,血統,0.25,0.25,9,A
中京,ダ,1200,シニスターミニスター,13,3,5,血統,0.2308,0.3846,10,A
中京,ダ,1200,マジェスティックウォリアー,10,2,4,血統,0.2,0.4,11,A
中京,ダ,1200,ザファクター,5,1,2,血統,0.2,0.4,12,A
中京,ダ,1200,トーセンジョーダン,5,1,2,血統,0.2,0.4,13,A
中京,ダ,1200,ディーマジェスティ,5,1,1,血統,0.2,0.2,14,A
中京,ダ,1200,ドレフォン,17,3,5,血統,0.1765,0.2941,15,A
中京,ダ,1200,リオンディーズ,18,3,6,血統,0.1667,0.3333,16,A
中京,ダ,1200,ダンカーク,6,1,2,血統,0.1667,0.3333,17,A
中京,ダ,1200,コパノリッキー,18,3,3,血統,0.1667,0.1667,18,A
中京,ダ,1200,フェノーメノ,7,1,1,血統,0.1429,0.1429,19,A
中京,ダ,1200,ダイワメジャー,9,1,1,血統,0.1111,0.1111,20,A
中京,ダ,1200,モーリス,11,1,2,血統,0.0909,0.1818,21,A
中京,ダ,1200,ホッコータルマエ,11,1,1,血統,0.0909,0.0909,22,A
中京,ダ,1200,サウスヴィグラス,15,1,5,血統,0.0667,0.3333,23,A
中京,ダ,1200,キンシャサノキセキ,16,1,2,血統,0.0625,0.125,24,A
中京,ダ,1200,ロードカナロア,19,1,3,血統,0.0526,0.1579,25,A
中京,ダ,1200,ミッキーアイル,20,1,6,血統,0.05,0.3,26,A
中京,ダ,1200,Frosted,1,0,1,血統,0.0,1.0,27,B
中京,ダ,1200,Kantharos,1,0,1,血統,0.0,1.0,28,B
中京,ダ,1200,Quality Road,1,0,1,血統,0.0,1.0,29,B
中京,ダ,1200,バゴ,1,0,1,血統,0.0,1.0,30,B
中京,ダ,1200,ローエングリン,1,0,1,血統,0.0,1.0,31,B
中京,ダ,1200,ラニ,3,0,2,血統,0.0,0.6667,32,B
中京,ダ,1200,ワールドエース,3,0,2,血統,0.0,0.6667,33,B
中京,ダ,1200,Khozan,2,0,1,血統,0.0,0.5,34,B
中京,ダ,1200,Pioneerof the Nile,2,0,1,血統,0.0,0.5,35,B
中京,ダ,1200,エイシンヒカリ,2,0,1,血統,0.0,0.5,36,B
中京,ダ,1200,キングカメハメハ,2,0,1,血統,0.0,0.5,37,B
中京,ダ,1200,ノヴェリスト,2,0,1,血統,0.0,0.5,38,B
中京,ダ,1200,モンテロッソ,2,0,1,血統,0.0,0.5,39,B
中京,ダ,1200,ヨハネスブルグ,2,0,1,血統,0.0,0.5,40,B
中京,ダ,1200,カレンブラックヒル,9,0,3,血統,0.0,0.3333,41,B
中京,ダ,1200,シャンハイボビー,3,0,1,血統,0.0,0.3333,42,B
中京,ダ,1200,スズカコーズウェイ,3,0,1,血統,0.0,0.3333,43,B
中京,ダ,1200,ヘニーヒューズ,33,0,10,血統,0.0,0.303,44,B
中京,ダ,1200,ルーラーシップ,8,0,2,血統,0.0,0.25,45,B
中京,ダ,1200,Speightstown,4,0,1,血統,0.0,0.25,46,B
中京,ダ,1200,リアルインパクト,4,0,1,血統,0.0,0.25,47,B
中京,ダ,1200,ディスクリートキャット,10,0,2,血統,0.0,0.2,48,B
中京,ダ,1200,イスラボニータ,5,0,1,血統,0.0,0.2,49,B
中京,ダ,1200,アジアエクスプレス,12,0,2,血統,0.0,0.1667,50,B
中京,ダ,1200,ダノンレジェンド,7,0,1,血統,0.0,0.1429,51,B
中京,ダ,1200,ドゥラメンテ,7,0,1,血統,0.0,0.1429,52,B
中京,ダ,1200,キズナ,11,0,1,血統,0.0,0.0909,53,B
中京,ダ,1200,ストロングリターン,11,0,1,血統,0.0,0.0909,54,B
中京,ダ,1200,エスポワールシチー,18,0,1,血統,0.0,0.0556,55,B
中京,ダ,1200,ゴールドアリュール,11,0,0,血統,0.0,0.0,56,B
中京,ダ,1200,エイシンフラッシュ,6,0,0,血統,0.0,0.0,57,B
中京,ダ,1200,パイロ,6,0,0,血統,0.0,0.0,58,B
中京,ダ,1200,メイショウボーラー,6,0,0,血統,0.0,0.0,59,B
中京,ダ,1200,パドトロワ,5,0,0,血統,0.0,0.0,60,B
中京,ダ,1200,メイショウサムソン,5,0,0,血統,0.0,0.0,61,B
中京,ダ,1200,ヴァンセンヌ,5,0,0,血統,0.0,0.0,62,B
中京,ダ,1200,オルフェーヴル,4,0,0,血統,0.0,0.0,63,B
中京,ダ,1200,ジャスタウェイ,4,0,0,血統,0.0,0.0,64,B
中京,ダ,1200,ハーツクライ,4,0,0,血統,0.0,0.0,65,B
中京,ダ,1200,ブラックタイド,4,0,0,血統,0.0,0.0,66,B
中京,ダ,1200,ラブリーデイ,4,0,0,血統,0.0,0.0,67,C
中京,ダ,1200,カネヒキリ,3,0,0,血統,0.0,0.0,68,C
中京,ダ,1200,サトノアラジン,3,0,0,血統,0.0,0.0,69,C
中京,ダ,1200,ジョーカプチーノ,3,0,0,血統,0.0,0.0,70,C
中京,ダ,1200,ディープブリランテ,3,0,0,血統,0.0,0.0,71,C
中京,ダ,1200,トランセンド,3,0,0,血統,0.0,0.0,72,C
中京,ダ,1200,マクフィ,3,0,0,血統,0.0,0.0,73,C
中京,ダ,1200,Dawn Approach,2,0,0,血統,0.0,0.0,74,C
中京,ダ,1200,Distorted Humor,2,0,0,血統,0.0,0.0,75,C
中京,ダ,1200,Mohaymen,2,0,0,血統,0.0,0.0,76,C
中京,ダ,1200,アドマイヤムーン,2,0,0,血統,0.0,0.0,77,C
中京,ダ,1200,アポロキングダム,2,0,0,血統,0.0,0.0,78,C
中京,ダ,1200,アーネストリー,2,0,0,血統,0.0,0.0,79,C
中京,ダ,1200,キタサンブラック,2,0,0,血統,0.0,0.0,80,C
中京,ダ,1200,キングズベスト,2,0,0,血統,0.0,0.0,81,C
中京,ダ,1200,キングヘイロー,2,0,0,血統,0.0,0.0,82,C
