場所,芝ダ,距離,位置取りゾーン,母数,勝利数,複勝数,単勝率,複勝率
中京,ダ,1200.0,中団,216,11,39,0.0509,0.1806
中京,ダ,1200.0,前,185,15,51,0.0811,0.2757
中京,ダ,1200.0,好位,171,15,36,0.0877,0.2105
中京,ダ,1200.0,後方,198,10,27,0.0505,0.1364
中京,ダ,1400.0,中団,256,12,46,0.0469,0.1797
中京,ダ,1400.0,前,205,16,46,0.078,0.2244
中京,ダ,1400.0,好位,256,26,62,0.1016,0.2422
中京,ダ,1400.0,後方,300,13,48,0.0433,0.16
中京,ダ,1800.0,中団,336,25,73,0.0744,0.2173
中京,ダ,1800.0,前,276,34,91,0.1232,0.3297
中京,ダ,1800.0,好位,286,25,76,0.0874,0.2657
中京,ダ,1800.0,後方,295,13,46,0.0441,0.1559
中京,ダ,1900.0,中団,148,11,38,0.0743,0.2568
中京,ダ,1900.0,前,89,7,23,0.0787,0.2584
中京,ダ,1900.0,好位,108,15,32,0.1389,0.2963
中京,ダ,1900.0,後方,151,4,20,0.0265,0.1325
中京,芝,1200.0,中団,132,5,28,0.0379,0.2121
中京,芝,1200.0,前,100,11,26,0.11,0.26
中京,芝,1200.0,好位,98,10,21,0.102,0.2143
中京,芝,1200.0,後方,142,6,22,0.0423,0.1549
中京,芝,1400.0,中団,133,9,25,0.0677,0.188
中京,芝,1400.0,前,106,8,25,0.0755,0.2358
中京,芝,1400.0,好位,119,11,31,0.0924,0.2605
中京,芝,1400.0,後方,136,6,23,0.0441,0.1691
中京,芝,1600.0,中団,171,12,44,0.0702,0.2573
中京,芝,1600.0,前,121,17,33,0.1405,0.2727
中京,芝,1600.0,好位,165,19,56,0.1152,0.3394
中京,芝,1600.0,後方,197,6,29,0.0305,0.1472
中京,芝,2000.0,中団,239,14,54,0.0586,0.2259
中京,芝,2000.0,前,138,20,51,0.1449,0.3696
中京,芝,2000.0,好位,184,17,56,0.0924,0.3043
中京,芝,2000.0,後方,168,14,35,0.0833,0.2083
中京,芝,2200.0,中団,119,12,28,0.1008,0.2353
中京,芝,2200.0,前,87,7,23,0.0805,0.2644
中京,芝,2200.0,好位,105,13,40,0.1238,0.381
中京,芝,2200.0,後方,60,2,11,0.0333,0.1833
