前走競馬場,前走芝ダ,前走距離数値,前4角位置カテゴリ,件数,勝利数,複勝数,勝率,複勝率,単回収率,複回収率
中京,ダ,1200.0,1番手,63,9,19,0.1429,0.3016,99.7,101.7
中京,ダ,1200.0,2-3番手,138,13,37,0.0942,0.2681,79.0,72.7
中京,ダ,1200.0,4-6番手,142,11,40,0.0775,0.2817,293.7,121.3
中京,ダ,1200.0,7-9番手,151,9,26,0.0596,0.1722,140.1,87.2
中京,ダ,1200.0,10番手以下,264,6,38,0.0227,0.1439,106.0,52.2
中京,ダ,1400.0,1番手,73,6,18,0.0822,0.2466,81.6,78.5
中京,ダ,1400.0,2-3番手,184,27,63,0.1467,0.3424,134.2,105.7
中京,ダ,1400.0,4-6番手,239,23,60,0.0962,0.251,100.9,75.8
中京,ダ,1400.0,7-9番手,211,8,40,0.0379,0.1896,97.1,79.8
中京,ダ,1400.0,10番手以下,348,18,54,0.0517,0.1552,162.9,69.4
中京,ダ,1800.0,1番手,110,14,28,0.1273,0.2545,101.4,61.3
中京,ダ,1800.0,2-3番手,277,27,77,0.0975,0.278,79.9,58.7
中京,ダ,1800.0,4-6番手,288,26,73,0.0903,0.2535,103.2,72.7
中京,ダ,1800.0,7-9番手,257,13,57,0.0506,0.2218,110.2,84.9
中京,ダ,1800.0,10番手以下,238,10,39,0.042,0.1639,155.5,75.1
中京,ダ,1900.0,1番手,49,4,17,0.0816,0.3469,70.4,104.1
中京,ダ,1900.0,2-3番手,102,7,28,0.0686,0.2745,147.0,92.1
中京,ダ,1900.0,4-6番手,128,4,30,0.0312,0.2344,61.9,69.8
中京,ダ,1900.0,7-9番手,106,7,24,0.066,0.2264,138.1,100.5
中京,ダ,1900.0,10番手以下,124,3,17,0.0242,0.1371,93.2,55.1
中京,芝,1200.0,1番手,37,9,15,0.2432,0.4054,228.0,109.5
中京,芝,1200.0,2-3番手,84,9,20,0.1071,0.2381,108.5,60.4
中京,芝,1200.0,4-6番手,111,14,26,0.1261,0.2342,184.8,73.8
中京,芝,1200.0,7-9番手,85,4,24,0.0471,0.2824,141.3,95.4
中京,芝,1200.0,10番手以下,168,7,25,0.0417,0.1488,106.7,52.7
中京,芝,1400.0,1番手,42,3,8,0.0714,0.1905,71.8,59.0
中京,芝,1400.0,2-3番手,113,16,29,0.1416,0.2566,217.2,83.6
中京,芝,1400.0,4-6番手,106,14,31,0.1321,0.2925,120.8,86.5
中京,芝,1400.0,7-9番手,110,10,28,0.0909,0.2545,196.7,87.7
中京,芝,1400.0,10番手以下,157,10,24,0.0637,0.1529,123.5,37.3
中京,芝,1600.0,1番手,63,6,13,0.0952,0.2063,107.3,55.4
中京,芝,1600.0,2-3番手,165,18,41,0.1091,0.2485,112.0,65.5
中京,芝,1600.0,4-6番手,166,17,42,0.1024,0.253,113.8,69.1
中京,芝,1600.0,7-9番手,146,10,42,0.0685,0.2877,153.2,93.5
中京,芝,1600.0,10番手以下,170,7,23,0.0412,0.1353,121.3,79.8
中京,芝,2000.0,1番手,68,5,20,0.0735,0.2941,81.5,73.8
中京,芝,2000.0,2-3番手,190,25,62,0.1316,0.3263,155.4,81.3
中京,芝,2000.0,4-6番手,209,12,50,0.0574,0.2392,90.1,89.1
中京,芝,2000.0,7-9番手,152,12,36,0.0789,0.2368,149.2,75.6
中京,芝,2000.0,10番手以下,133,9,19,0.0677,0.1429,106.7,30.8
中京,芝,2200.0,1番手,40,7,16,0.175,0.4,209.5,108.2
中京,芝,2200.0,2-3番手,109,12,35,0.1101,0.3211,105.0,85.7
中京,芝,2200.0,4-6番手,114,11,40,0.0965,0.3509,82.9,80.8
中京,芝,2200.0,7-9番手,87,5,29,0.0575,0.3333,95.2,120.6
中京,芝,2200.0,10番手以下,63,6,17,0.0952,0.2698,104.9,55.4
中山,ダ,1200.0,1番手,181,11,35,0.0608,0.1934,59.4,48.3
中山,ダ,1200.0,2-3番手,378,29,90,0.0767,0.2381,90.8,67.7
中山,ダ,1200.0,4-6番手,418,34,80,0.0813,0.1914,123.4,57.9
中山,ダ,1200.0,7-9番手,408,14,68,0.0343,0.1667,108.7,68.4
中山,ダ,1200.0,10番手以下,694,29,92,0.0418,0.1326,163.4,75.3
中山,ダ,1800.0,1番手,199,25,68,0.1256,0.3417,149.9,96.7
中山,ダ,1800.0,2-3番手,459,46,117,0.1002,0.2549,106.9,63.1
中山,ダ,1800.0,4-6番手,428,26,110,0.0607,0.257,149.2,80.6
中山,ダ,1800.0,7-9番手,417,19,63,0.0456,0.1511,117.5,48.6
中山,ダ,1800.0,10番手以下,596,18,74,0.0302,0.1242,175.6,66.0
中山,ダ,2400.0,1番手,20,1,7,0.05,0.35,70.4,90.0
中山,ダ,2400.0,2-3番手,51,5,16,0.098,0.3137,226.1,104.5
中山,ダ,2400.0,4-6番手,54,4,14,0.0741,0.2593,121.8,70.7
中山,ダ,2400.0,7-9番手,52,5,10,0.0962,0.1923,125.5,67.1
中山,ダ,2400.0,10番手以下,82,0,3,0.0,0.0366,108.8,9.5
中山,芝,1200.0,1番手,58,5,15,0.0862,0.2586,53.5,55.0
中山,芝,1200.0,2-3番手,159,11,44,0.0692,0.2767,79.5,89.4
中山,芝,1200.0,4-6番手,171,8,45,0.0468,0.2632,70.8,95.3
中山,芝,1200.0,7-9番手,180,8,29,0.0444,0.1611,125.5,59.5
中山,芝,1200.0,10番手以下,241,7,31,0.029,0.1286,155.2,77.6
中山,芝,1600.0,1番手,96,11,19,0.1146,0.1979,108.5,40.8
中山,芝,1600.0,2-3番手,237,20,66,0.0844,0.2785,75.1,74.9
中山,芝,1600.0,4-6番手,265,19,68,0.0717,0.2566,126.2,70.9
中山,芝,1600.0,7-9番手,227,14,50,0.0617,0.2203,132.3,68.6
中山,芝,1600.0,10番手以下,278,11,38,0.0396,0.1367,143.2,66.4
中山,芝,1800.0,1番手,57,8,13,0.1404,0.2281,279.8,89.5
中山,芝,1800.0,2-3番手,151,16,47,0.106,0.3113,104.0,83.1
中山,芝,1800.0,4-6番手,154,19,44,0.1234,0.2857,198.2,103.5
中山,芝,1800.0,7-9番手,139,8,35,0.0576,0.2518,103.3,117.0
中山,芝,1800.0,10番手以下,155,9,23,0.0581,0.1484,211.0,55.6
中山,芝,2000.0,1番手,61,5,16,0.082,0.2623,57.3,64.6
中山,芝,2000.0,2-3番手,176,19,52,0.108,0.2955,105.6,76.0
中山,芝,2000.0,4-6番手,191,17,47,0.089,0.2461,78.2,70.9
中山,芝,2000.0,7-9番手,142,10,37,0.0704,0.2606,105.2,77.4
