場所,芝ダ,距離,前走場所,母数,勝利数,複勝数,単勝率,複勝率,補正複勝率
中京,ダ,1200,中京,137,9,27,0.0657,0.1971,0.2
中京,ダ,1200,中山,50,2,10,0.04,0.2,0.207547
中京,ダ,1200,京都,35,4,7,0.1143,0.2,0.210526
中京,ダ,1200,佐賀,1,0,0,0.0,0.0,0.25
中京,ダ,1200,函館,2,0,1,0.0,0.5,0.4
中京,ダ,1200,名古,1,0,0,0.0,0.0,0.25
中京,ダ,1200,園田,11,0,2,0.0,0.1818,0.214286
中京,ダ,1200,大井,1,0,0,0.0,0.0,0.25
中京,ダ,1200,姫路,1,0,0,0.0,0.0,0.25
中京,ダ,1200,小倉,48,4,10,0.0833,0.2083,0.215686
中京,ダ,1200,川崎,3,0,0,0.0,0.0,0.166667
中京,ダ,1200,新潟,52,5,13,0.0962,0.25,0.254545
中京,ダ,1200,札幌,14,0,1,0.0,0.0714,0.117647
中京,ダ,1200,東京,29,3,6,0.1034,0.2069,0.21875
中京,ダ,1200,浦和,1,0,1,0.0,1.0,0.5
中京,ダ,1200,盛岡,1,0,0,0.0,0.0,0.25
中京,ダ,1200,福島,41,1,5,0.0244,0.122,0.136364
中京,ダ,1200,笠松,1,0,0,0.0,0.0,0.25
中京,ダ,1200,金沢,1,0,0,0.0,0.0,0.25
中京,ダ,1200,門別,2,0,0,0.0,0.0,0.2
中京,ダ,1200,阪神,138,9,29,0.0652,0.2101,0.212766
中京,ダ,1400,中京,150,8,30,0.0533,0.2,0.202614
中京,ダ,1400,中山,36,1,4,0.0278,0.1111,0.128205
中京,ダ,1400,京都,40,3,7,0.075,0.175,0.186047
中京,ダ,1400,函館,2,1,1,0.5,0.5,0.4
中京,ダ,1400,名古,11,0,0,0.0,0.0,0.071429
中京,ダ,1400,園田,7,1,1,0.1429,0.1429,0.2
中京,ダ,1400,大井,1,0,0,0.0,0.0,0.25
中京,ダ,1400,姫路,1,0,1,0.0,1.0,0.5
中京,ダ,1400,小倉,46,4,7,0.087,0.1522,0.163265
中京,ダ,1400,川崎,7,0,1,0.0,0.1429,0.2
中京,ダ,1400,新潟,26,0,5,0.0,0.1923,0.206897
