場所,芝ダ,距離,前走場所,母数,勝利数,複勝数,単勝率,複勝率
中京,ダ,1200,中京,137,9,27,0.0657,0.1971
中京,ダ,1200,中山,50,2,10,0.04,0.2
中京,ダ,1200,京都,35,4,7,0.1143,0.2
中京,ダ,1200,佐賀,1,0,0,0.0,0.0
中京,ダ,1200,函館,2,0,1,0.0,0.5
中京,ダ,1200,名古,1,0,0,0.0,0.0
中京,ダ,1200,園田,11,0,2,0.0,0.1818
中京,ダ,1200,大井,1,0,0,0.0,0.0
中京,ダ,1200,姫路,1,0,0,0.0,0.0
中京,ダ,1200,小倉,48,4,10,0.0833,0.2083
中京,ダ,1200,川崎,3,0,0,0.0,0.0
中京,ダ,1200,新潟,52,5,13,0.0962,0.25
中京,ダ,1200,札幌,14,0,1,0.0,0.0714
中京,ダ,1200,東京,29,3,6,0.1034,0.2069
中京,ダ,1200,浦和,1,0,1,0.0,1.0
中京,ダ,1200,盛岡,1,0,0,0.0,0.0
中京,ダ,1200,福島,41,1,5,0.0244,0.122
中京,ダ,1200,笠松,1,0,0,0.0,0.0
中京,ダ,1200,金沢,1,0,0,0.0,0.0
中京,ダ,1200,門別,2,0,0,0.0,0.0
中京,ダ,1200,阪神,138,9,29,0.0652,0.2101
中京,ダ,1400,中京,150,8,30,0.0533,0.2
中京,ダ,1400,中山,36,1,4,0.0278,0.1111
中京,ダ,1400,京都,40,3,7,0.075,0.175
中京,ダ,1400,函館,2,1,1,0.5,0.5
中京,ダ,1400,名古,11,0,0,0.0,0.0
中京,ダ,1400,園田,7,1,1,0.1429,0.1429
中京,ダ,1400,大井,1,0,0,0.0,0.0
中京,ダ,1400,姫路,1,0,1,0.0,1.0
中京,ダ,1400,小倉,46,4,7,0.087,0.1522
中京,ダ,1400,川崎,7,0,1,0.0,0.1429
中京,ダ,1400,新潟,26,0,5,0.0,0.1923
中京,ダ,1400,札幌,9,0,1,0.0,0.1111
中京,ダ,1400,東京,121,11,30,0.0909,0.2479
中京,ダ,1400,水沢,3,0,0,0.0,0.0
中京,ダ,1400,浦和,2,0,0,0.0,0.0
中京,ダ,1400,盛岡,2,0,0,0.0,0.0
