場所,芝ダ,距離,種牡馬,母数,勝利数,複勝数,単勝率,複勝率
中京,ダ,1200,American Pharoah,1,0,0,0.0,0.0
中京,ダ,1200,Bated Breath,1,0,0,0.0,0.0
中京,ダ,1200,Dawn Approach,2,0,0,0.0,0.0
中京,ダ,1200,Distorted Humor,2,0,0,0.0,0.0
中京,ダ,1200,Fed Biz,1,0,0,0.0,0.0
中京,ダ,1200,Frankel,1,0,0,0.0,0.0
中京,ダ,1200,Frosted,1,0,1,0.0,1.0
中京,ダ,1200,Gleneagles,1,0,0,0.0,0.0
中京,ダ,1200,Goldencents,1,0,0,0.0,0.0
中京,ダ,1200,Honor Code,1,0,0,0.0,0.0
中京,ダ,1200,Into Mischief,4,1,2,0.25,0.5
中京,ダ,1200,Kantharos,1,0,1,0.0,1.0
中京,ダ,1200,Khozan,2,0,1,0.0,0.5
中京,ダ,1200,Maclean's Music,4,1,3,0.25,0.75
中京,ダ,1200,Medaglia d'Oro,1,0,0,0.0,0.0
中京,ダ,1200,Midnight Lute,1,0,0,0.0,0.0
中京,ダ,1200,Mineshaft,1,0,0,0.0,0.0
中京,ダ,1200,Mohaymen,2,0,0,0.0,0.0
中京,ダ,1200,More Than Ready,1,0,0,0.0,0.0
中京,ダ,1200,Pioneerof the Nile,2,0,1,0.0,0.5
中京,ダ,1200,Quality Road,1,0,1,0.0,1.0
中京,ダ,1200,Shackleford,1,0,0,0.0,0.0
中京,ダ,1200,Shalaa,1,0,0,0.0,0.0
中京,ダ,1200,Speightstown,4,0,1,0.0,0.25
中京,ダ,1200,Street Sense,1,0,0,0.0,0.0
中京,ダ,1200,アイファーソング,1,0,0,0.0,0.0
中京,ダ,1200,アイルハヴアナザー,1,0,0,0.0,0.0
中京,ダ,1200,アグネスデジタル,1,0,0,0.0,0.0
中京,ダ,1200,アジアエクスプレス,12,0,2,0.0,0.1667
中京,ダ,1200,アドマイヤムーン,2,0,0,0.0,0.0
中京,ダ,1200,アポロキングダム,2,0,0,0.0,0.0
中京,ダ,1200,アメリカンペイトリオット,3,1,2,0.3333,0.6667
中京,ダ,1200,アロマカフェ,1,0,0,0.0,0.0
中京,ダ,1200,アーネストリー,2,0,0,0.0,0.0
中京,ダ,1200,イスラボニータ,5,0,1,0.0,0.2
中京,ダ,1200,エイシンヒカリ,2,0,1,0.0,0.5
中京,ダ,1200,エイシンフラッシュ,6,0,0,0.0,0.0
中京,ダ,1200,エスポワールシチー,18,0,1,0.0,0.0556
中京,ダ,1200,エピファネイア,4,1,1,0.25,0.25
中京,ダ,1200,オルフェーヴル,4,0,0,0.0,0.0
中京,ダ,1200,カジノドライヴ,1,0,0,0.0,0.0
中京,ダ,1200,カネヒキリ,3,0,0,0.0,0.0
中京,ダ,1200,カレンブラックヒル,9,0,3,0.0,0.3333
中京,ダ,1200,キズナ,11,0,1,0.0,0.0909
中京,ダ,1200,キタサンブラック,2,0,0,0.0,0.0
中京,ダ,1200,キングカメハメハ,2,0,1,0.0,0.5
中京,ダ,1200,キングズベスト,2,0,0,0.0,0.0
中京,ダ,1200,キングヘイロー,2,0,0,0.0,0.0
中京,ダ,1200,キンシャサノキセキ,16,1,2,0.0625,0.125
中京,ダ,1200,グランプリボス,2,0,0,0.0,0.0
中京,ダ,1200,ケープブランコ,1,0,0,0.0,0.0
中京,ダ,1200,コパノリッキー,18,3,3,0.1667,0.1667
中京,ダ,1200,ゴールドアリュール,11,0,0,0.0,0.0
中京,ダ,1200,サウスヴィグラス,15,1,5,0.0667,0.3333
中京,ダ,1200,サダムパテック,1,0,0,0.0,0.0
中京,ダ,1200,サトノアラジン,3,0,0,0.0,0.0
中京,ダ,1200,ザファクター,5,1,2,0.2,0.4
中京,ダ,1200,シニスターミニスター,13,3,5,0.2308,0.3846
中京,ダ,1200,シャンハイボビー,3,0,1,0.0,0.3333
中京,ダ,1200,シルポート,2,0,0,0.0,0.0
中京,ダ,1200,シングンオペラ,1,0,0,0.0,0.0
中京,ダ,1200,ジャスタウェイ,4,0,0,0.0,0.0
中京,ダ,1200,ジョーカプチーノ,3,0,0,0.0,0.0
中京,ダ,1200,スウェプトオーヴァーボード,1,0,0,0.0,0.0
中京,ダ,1200,スクリーンヒーロー,2,0,0,0.0,0.0
中京,ダ,1200,スズカコーズウェイ,3,0,1,0.0,0.3333
中京,ダ,1200,ストロングリターン,11,0,1,0.0,0.0909
中京,ダ,1200,スピルバーグ,1,0,0,0.0,0.0
中京,ダ,1200,スマートファルコン,2,0,0,0.0,0.0
中京,ダ,1200,タイムパラドックス,1,0,0,0.0,0.0
中京,ダ,1200,タートルボウル,1,0,0,0.0,0.0
中京,ダ,1200,ダイワメジャー,9,1,1,0.1111,0.1111
中京,ダ,1200,ダノンレジェンド,7,0,1,0.0,0.1429
中京,ダ,1200,ダンカーク,6,1,2,0.1667,0.3333
中京,ダ,1200,ディスクリートキャット,10,0,2,0.0,0.2
中京,ダ,1200,ディープインパクト,4,1,1,0.25,0.25
中京,ダ,1200,ディープブリランテ,3,0,0,0.0,0.0
中京,ダ,1200,ディーマジェスティ,5,1,1,0.2,0.2
中京,ダ,1200,トゥザグローリー,5,2,3,0.4,0.6
中京,ダ,1200,トゥザワールド,2,0,0,0.0,0.0
中京,ダ,1200,トランセンド,3,0,0,0.0,0.0
中京,ダ,1200,トーセンジョーダン,5,1,2,0.2,0.4
中京,ダ,1200,トーセンホマレボシ,1,0,0,0.0,0.0
中京,ダ,1200,ドゥラメンテ,7,0,1,0.0,0.1429
中京,ダ,1200,ドレフォン,17,3,5,0.1765,0.2941
中京,ダ,1200,ナカヤマフェスタ,1,0,0,0.0,0.0
中京,ダ,1200,ニシケンモノノフ,1,0,0,0.0,0.0
中京,ダ,1200,ニホンピロアワーズ,1,0,0,0.0,0.0
中京,ダ,1200,ネオユニヴァース,1,0,0,0.0,0.0
中京,ダ,1200,ノヴェリスト,2,0,1,0.0,0.5
中京,ダ,1200,ハクサンムーン,1,0,0,0.0,0.0
中京,ダ,1200,ハーツクライ,4,0,0,0.0,0.0
中京,ダ,1200,ハービンジャー,1,0,0,0.0,0.0
中京,ダ,1200,バゴ,1,0,1,0.0,1.0
中京,ダ,1200,バトルプラン,1,0,0,0.0,0.0
中京,ダ,1200,パイロ,6,0,0,0.0,0.0
中京,ダ,1200,パドトロワ,5,0,0,0.0,0.0
中京,ダ,1200,ビッグアーサー,6,2,2,0.3333,0.3333
中京,ダ,1200,ファインニードル,2,0,0,0.0,0.0
中京,ダ,1200,フェノーメノ,7,1,1,0.1429,0.1429
中京,ダ,1200,フリオーソ,4,1,1,0.25,0.25
中京,ダ,1200,ブラックタイド,4,0,0,0.0,0.0
中京,ダ,1200,プリサイスエンド,2,0,0,0.0,0.0
中京,ダ,1200,ヘニーハウンド,1,0,0,0.0,0.0
中京,ダ,1200,ヘニーヒューズ,33,0,10,0.0,0.303
中京,ダ,1200,ホッコータルマエ,11,1,1,0.0909,0.0909
中京,ダ,1200,マインドユアビスケッツ,1,0,0,0.0,0.0
中京,ダ,1200,マクフィ,3,0,0,0.0,0.0
中京,ダ,1200,マジェスティックウォリアー,10,2,4,0.2,0.4
中京,ダ,1200,マツリダゴッホ,2,0,0,0.0,0.0
中京,ダ,1200,ミッキーアイル,20,1,6,0.05,0.3
中京,ダ,1200,メイショウサムソン,5,0,0,0.0,0.0
中京,ダ,1200,メイショウボーラー,6,0,0,0.0,0.0
中京,ダ,1200,モンテロッソ,2,0,1,0.0,0.5
中京,ダ,1200,モーリス,11,1,2,0.0909,0.1818
中京,ダ,1200,ヤマカツエース,1,0,0,0.0,0.0
中京,ダ,1200,ヨハネスブルグ,2,0,1,0.0,0.5
中京,ダ,1200,ラニ,3,0,2,0.0,0.6667
中京,ダ,1200,ラブリーデイ,4,0,0,0.0,0.0
中京,ダ,1200,リアルインパクト,4,0,1,0.0,0.25
中京,ダ,1200,リアルスティール,1,0,0,0.0,0.0
中京,ダ,1200,リオンディーズ,18,3,6,0.1667,0.3333
中京,ダ,1200,リーチザクラウン,1,1,1,1.0,1.0
中京,ダ,1200,ルーラーシップ,8,0,2,0.0,0.25
中京,ダ,1200,ローエングリン,1,0,1,0.0,1.0
中京,ダ,1200,ロージズインメイ,2,0,0,0.0,0.0
中京,ダ,1200,ローズキングダム,2,0,0,0.0,0.0
中京,ダ,1200,ロードカナロア,19,1,3,0.0526,0.1579
中京,ダ,1200,ワンダーアキュート,1,0,0,0.0,0.0
中京,ダ,1200,ワールドエース,3,0,2,0.0,0.6667
中京,ダ,1200,ヴァンセンヌ,5,0,0,0.0,0.0
中京,ダ,1200,ヴィクトワールピサ,1,0,0,0.0,0.0
中京,ダ,1400,Air Force Blue,1,0,0,0.0,0.0
中京,ダ,1400,American Pharoah,1,0,0,0.0,0.0
中京,ダ,1400,Arrogate,2,1,1,0.5,0.5
中京,ダ,1400,Bobby's Kitten,1,0,0,0.0,0.0
中京,ダ,1400,Carpe Diem,1,0,0,0.0,0.0
中京,ダ,1400,Constitution,1,0,0,0.0,0.0
中京,ダ,1400,Distorted Humor,2,0,1,0.0,0.5
中京,ダ,1400,Frankel,5,0,2,0.0,0.4
中京,ダ,1400,Frosted,2,0,0,0.0,0.0
中京,ダ,1400,Gleneagles,1,0,0,0.0,0.0
中京,ダ,1400,Hard Spun,1,0,0,0.0,0.0
中京,ダ,1400,Into Mischief,2,0,0,0.0,0.0
中京,ダ,1400,Kantharos,1,0,1,0.0,1.0
中京,ダ,1400,Maclean's Music,1,0,1,0.0,1.0
中京,ダ,1400,Medaglia d'Oro,1,0,0,0.0,0.0
中京,ダ,1400,Mineshaft,1,0,0,0.0,0.0
中京,ダ,1400,Mohaymen,1,0,0,0.0,0.0
中京,ダ,1400,More Than Ready,1,0,0,0.0,0.0
中京,ダ,1400,New Approach,1,0,0,0.0,0.0
中京,ダ,1400,Pioneerof the Nile,4,0,0,0.0,0.0
中京,ダ,1400,Quality Road,1,0,0,0.0,0.0
中京,ダ,1400,Speightstown,4,0,0,0.0,0.0
中京,ダ,1400,Street Cry,1,0,0,0.0,0.0
中京,ダ,1400,Street Sense,2,0,0,0.0,0.0
中京,ダ,1400,Tapit,5,2,4,0.4,0.8
中京,ダ,1400,Uncle Mo,1,0,0,0.0,0.0
中京,ダ,1400,War Front,1,0,1,0.0,1.0
中京,ダ,1400,アイルハヴアナザー,3,1,2,0.3333,0.6667
