場所,芝ダ,距離,脚質,母数,勝利数,複勝数,単勝率,複勝率,補正複勝率
中京,ダ,1200,,2,0,0,0.0,0.0,0.2
中京,ダ,1200,先行,135,16,45,0.1185,0.3333,0.333333
中京,ダ,1200,差し,396,15,50,0.0379,0.1263,0.12782
中京,ダ,1200,逃げ,37,6,17,0.1622,0.4595,0.45
中京,ダ,1400,,3,0,0,0.0,0.0,0.166667
中京,ダ,1400,先行,163,20,52,0.1227,0.319,0.319277
中京,ダ,1400,差し,458,23,70,0.0502,0.1528,0.154013
中京,ダ,1400,逃げ,44,1,11,0.0227,0.25,0.255319
中京,ダ,1800,,5,0,0,0.0,0.0,0.125
中京,ダ,1800,まくり,10,1,2,0.1,0.2,0.230769
中京,ダ,1800,先行,204,24,84,0.1176,0.4118,0.410628
中京,ダ,1800,差し,493,25,78,0.0507,0.1582,0.159274
中京,ダ,1800,逃げ,70,13,22,0.1857,0.3143,0.315068
中京,ダ,1900,,3,0,0,0.0,0.0,0.166667
中京,ダ,1900,まくり,3,0,1,0.0,0.3333,0.333333
中京,ダ,1900,先行,87,14,35,0.1609,0.4023,0.4
中京,ダ,1900,差し,216,10,29,0.0463,0.1343,0.136986
中京,ダ,1900,逃げ,29,1,10,0.0345,0.3448,0.34375
中京,芝,1200,先行,78,9,21,0.1154,0.2692,0.271605
中京,芝,1200,差し,225,8,34,0.0356,0.1511,0.153509
中京,芝,1200,逃げ,22,5,11,0.2273,0.5,0.48
中京,芝,1400,,1,0,0,0.0,0.0,0.25
中京,芝,1400,先行,116,13,34,0.1121,0.2931,0.294118
中京,芝,1400,差し,305,18,52,0.059,0.1705,0.172078
中京,芝,1400,逃げ,32,1,10,0.0312,0.3125,0.314286
中京,芝,1600,,5,0,0,0.0,0.0,0.125
中京,芝,1600,まくり,3,0,1,0.0,0.3333,0.333333
中京,芝,1600,先行,147,14,48,0.0952,0.3265,0.326667
中京,芝,1600,差し,318,16,61,0.0503,0.1918,0.193146
中京,芝,1600,逃げ,45,13,19,0.2889,0.4222,0.416667
中京,芝,2000,,5,0,0,0.0,0.0,0.125
中京,芝,2000,まくり,12,0,4,0.0,0.3333,0.333333
中京,芝,2000,先行,169,23,67,0.1361,0.3964,0.395349
中京,芝,2000,差し,325,19,60,0.0585,0.1846,0.185976
中京,芝,2000,逃げ,55,10,25,0.1818,0.4545,0.448276
中京,芝,2200,,1,0,0,0.0,0.0,0.25
中京,芝,2200,まくり,4,1,3,0.25,0.75,0.571429
中京,芝,2200,先行,104,14,33,0.1346,0.3173,0.317757
中京,芝,2200,差し,167,11,41,0.0659,0.2455,0.247059
中京,芝,2200,逃げ,30,3,10,0.1,0.3333,0.333333
中山,ダ,1200,,8,0,0,0.0,0.0,0.090909
中山,ダ,1200,先行,342,45,120,0.1316,0.3509,0.350725
中山,ダ,1200,差し,1004,26,123,0.0259,0.1225,0.123138
中山,ダ,1200,逃げ,94,23,39,0.2447,0.4149,0.412371
中山,ダ,1800,,7,0,0,0.0,0.0,0.1
中山,ダ,1800,まくり,20,3,14,0.15,0.7,0.652174
中山,ダ,1800,先行,352,49,130,0.1392,0.3693,0.369014
中山,ダ,1800,差し,970,27,120,0.0278,0.1237,0.124358
中山,ダ,1800,逃げ,114,24,42,0.2105,0.3684,0.367521
中山,ダ,2400,,2,0,0,0.0,0.0,0.2
中山,ダ,2400,まくり,2,0,0,0.0,0.0,0.2
中山,ダ,2400,先行,59,8,22,0.1356,0.3729,0.370968
中山,ダ,2400,差し,158,3,20,0.019,0.1266,0.130435
中山,ダ,2400,逃げ,18,5,6,0.2778,0.3333,0.333333
中山,ダ,2500,まくり,1,0,0,0.0,0.0,0.25
中山,ダ,2500,先行,5,2,4,0.4,0.8,0.625
中山,ダ,2500,差し,13,0,2,0.0,0.1538,0.1875
中山,ダ,2500,逃げ,3,0,0,0.0,0.0,0.166667
中山,芝,1200,,3,0,0,0.0,0.0,0.166667
中山,芝,1200,先行,152,20,55,0.1316,0.3618,0.36129
中山,芝,1200,差し,373,14,50,0.0375,0.134,0.135638
中山,芝,1200,逃げ,41,7,19,0.1707,0.4634,0.454545
中山,芝,1600,,3,0,0,0.0,0.0,0.166667
中山,芝,1600,まくり,8,1,3,0.125,0.375,0.363636
中山,芝,1600,先行,202,27,78,0.1337,0.3861,0.385366
中山,芝,1600,差し,486,18,67,0.037,0.1379,0.139059
中山,芝,1600,逃げ,66,12,26,0.1818,0.3939,0.391304
中山,芝,1800,,1,0,0,0.0,0.0,0.25
中山,芝,1800,まくり,5,0,2,0.0,0.4,0.375
中山,芝,1800,先行,127,18,54,0.1417,0.4252,0.423077
中山,芝,1800,差し,281,13,41,0.0463,0.1459,0.147887
中山,芝,1800,逃げ,37,5,11,0.1351,0.2973,0.3
中山,芝,2000,,5,0,0,0.0,0.0,0.125
中山,芝,2000,まくり,8,1,4,0.125,0.5,0.454545
中山,芝,2000,先行,104,12,30,0.1154,0.2885,0.28972
中山,芝,2000,差し,239,15,48,0.0628,0.2008,0.202479
中山,芝,2000,逃げ,31,2,8,0.0645,0.2581,0.264706
中山,芝,2200,,1,0,0,0.0,0.0,0.25
中山,芝,2200,まくり,6,3,5,0.5,0.8333,0.666667
中山,芝,2200,先行,57,6,23,0.1053,0.4035,0.4
中山,芝,2200,差し,110,5,15,0.0455,0.1364,0.141593
中山,芝,2200,逃げ,17,2,6,0.1176,0.3529,0.35
中山,芝,2500,,1,0,0,0.0,0.0,0.25
中山,芝,2500,まくり,3,0,0,0.0,0.0,0.166667
中山,芝,2500,先行,62,6,23,0.0968,0.371,0.369231
中山,芝,2500,差し,126,9,22,0.0714,0.1746,0.178295
中山,芝,2500,逃げ,19,2,6,0.1053,0.3158,0.318182
京都,ダ,1200,,4,0,0,0.0,0.0,0.142857
京都,ダ,1200,先行,132,12,38,0.0909,0.2879,0.288889
京都,ダ,1200,差し,391,16,53,0.0409,0.1355,0.137056
京都,ダ,1200,逃げ,37,9,20,0.2432,0.5405,0.525
京都,ダ,1400,,6,0,0,0.0,0.0,0.111111
京都,ダ,1400,先行,146,20,52,0.137,0.3562,0.355705
京都,ダ,1400,差し,402,11,48,0.0274,0.1194,0.120988
京都,ダ,1400,逃げ,40,9,20,0.225,0.5,0.488372
京都,ダ,1800,,7,0,0,0.0,0.0,0.1
京都,ダ,1800,まくり,14,1,8,0.0714,0.5714,0.529412
京都,ダ,1800,先行,218,28,87,0.1284,0.3991,0.39819
京都,ダ,1800,差し,526,23,73,0.0437,0.1388,0.139887
京都,ダ,1800,逃げ,66,13,27,0.197,0.4091,0.405797
京都,ダ,1900,,1,0,0,0.0,0.0,0.25
京都,ダ,1900,まくり,9,5,5,0.5556,0.5556,0.5
京都,ダ,1900,先行,78,11,30,0.141,0.3846,0.382716
京都,ダ,1900,差し,212,8,34,0.0377,0.1604,0.162791
京都,ダ,1900,逃げ,27,1,6,0.037,0.2222,0.233333
京都,芝,1200,先行,58,8,14,0.1379,0.2414,0.245902
京都,芝,1200,差し,168,6,30,0.0357,0.1786,0.181287
京都,芝,1200,逃げ,16,2,4,0.125,0.25,0.263158
京都,芝,1400,,3,0,0,0.0,0.0,0.166667
京都,芝,1400,まくり,1,0,0,0.0,0.0,0.25
京都,芝,1400,先行,111,13,34,0.1171,0.3063,0.307018
京都,芝,1400,差し,296,16,51,0.0541,0.1723,0.173913
京都,芝,1400,逃げ,31,2,8,0.0645,0.2581,0.264706
京都,芝,1600,,8,0,0,0.0,0.0,0.090909
京都,芝,1600,まくり,1,0,0,0.0,0.0,0.25
京都,芝,1600,先行,131,15,48,0.1145,0.3664,0.365672
京都,芝,1600,差し,259,14,51,0.0541,0.1969,0.198473
京都,芝,1600,逃げ,37,8,12,0.2162,0.3243,0.325
京都,芝,1800,,2,0,0,0.0,0.0,0.2
京都,芝,1800,まくり,4,0,0,0.0,0.0,0.142857
京都,芝,1800,先行,100,19,43,0.19,0.43,0.427184
京都,芝,1800,差し,145,7,33,0.0483,0.2276,0.22973
京都,芝,1800,逃げ,29,3,11,0.1034,0.3793,0.375
京都,芝,2000,,4,0,0,0.0,0.0,0.142857
京都,芝,2000,まくり,5,0,2,0.0,0.4,0.375
京都,芝,2000,先行,85,14,30,0.1647,0.3529,0.352273
京都,芝,2000,差し,163,9,36,0.0552,0.2209,0.222892
京都,芝,2000,逃げ,26,3,10,0.1154,0.3846,0.37931
京都,芝,2200,,1,0,0,0.0,0.0,0.25
京都,芝,2200,まくり,3,0,0,0.0,0.0,0.166667
京都,芝,2200,先行,46,6,14,0.1304,0.3043,0.306122
京都,芝,2200,差し,92,7,23,0.0761,0.25,0.252632
京都,芝,2200,逃げ,15,1,5,0.0667,0.3333,0.333333
京都,芝,2400,まくり,3,0,1,0.0,0.3333,0.333333
京都,芝,2400,先行,35,7,15,0.2,0.4286,0.421053
京都,芝,2400,差し,65,4,12,0.0615,0.1846,0.191176
京都,芝,2400,逃げ,13,0,5,0.0,0.3846,0.375
京都,芝,3000,先行,3,0,0,0.0,0.0,0.166667
京都,芝,3000,差し,13,1,3,0.0769,0.2308,0.25
京都,芝,3000,逃げ,1,0,0,0.0,0.0,0.25
函館,ダ,1000,,5,0,0,0.0,0.0,0.125
函館,ダ,1000,先行,86,10,40,0.1163,0.4651,0.460674
函館,ダ,1000,差し,164,3,14,0.0183,0.0854,0.08982
函館,ダ,1000,逃げ,24,11,18,0.4583,0.75,0.703704
函館,ダ,1700,,2,0,0,0.0,0.0,0.2
函館,ダ,1700,まくり,15,5,8,0.3333,0.5333,0.5
函館,ダ,1700,先行,170,28,82,0.1647,0.4824,0.479769
函館,ダ,1700,差し,410,11,45,0.0268,0.1098,0.11138
函館,ダ,1700,逃げ,59,10,27,0.1695,0.4576,0.451613
函館,ダ,2400,まくり,3,0,1,0.0,0.3333,0.333333
函館,ダ,2400,先行,10,2,4,0.2,0.4,0.384615
函館,ダ,2400,差し,13,0,3,0.0,0.2308,0.25
