場所,芝ダ,距離,調教師,母数,勝利数,複勝数,単勝率,複勝率
中京,ダ,1200,上原佑紀,2,0,2,0.0,1.0
中京,ダ,1200,上村洋行,5,2,2,0.4,0.4
中京,ダ,1200,中内田充,1,0,0,0.0,0.0
中京,ダ,1200,中尾秀正,16,1,2,0.0625,0.125
中京,ダ,1200,中村直也,9,0,1,0.0,0.1111
中京,ダ,1200,中竹和也,2,0,0,0.0,0.0
中京,ダ,1200,中舘英二,1,0,0,0.0,0.0
中京,ダ,1200,中野栄治,2,0,0,0.0,0.0
中京,ダ,1200,五十嵐忠,5,0,0,0.0,0.0
中京,ダ,1200,今野貞一,7,0,2,0.0,0.2857
中京,ダ,1200,伊坂重信,1,0,0,0.0,0.0
中京,ダ,1200,伊藤圭三,8,0,3,0.0,0.375
中京,ダ,1200,佐々木晶,5,1,1,0.2,0.2
中京,ダ,1200,加用正,3,0,0,0.0,0.0
中京,ダ,1200,加藤和宏,1,1,1,1.0,1.0
中京,ダ,1200,加藤征弘,1,0,0,0.0,0.0
中京,ダ,1200,勢司和浩,1,0,0,0.0,0.0
中京,ダ,1200,北出成人,8,0,0,0.0,0.0
中京,ダ,1200,千田輝彦,5,0,3,0.0,0.6
中京,ダ,1200,南井克巳,2,0,1,0.0,0.5
中京,ダ,1200,吉岡辰弥,1,0,0,0.0,0.0
中京,ダ,1200,吉村圭司,4,0,0,0.0,0.0
中京,ダ,1200,吉田直弘,7,0,1,0.0,0.1429
中京,ダ,1200,和田勇介,1,0,0,0.0,0.0
中京,ダ,1200,和田正一,1,0,0,0.0,0.0
中京,ダ,1200,嘉藤貴行,1,0,0,0.0,0.0
中京,ダ,1200,四位洋文,1,0,0,0.0,0.0
中京,ダ,1200,土田稔,2,0,0,0.0,0.0
中京,ダ,1200,坂口智康,7,0,1,0.0,0.1429
中京,ダ,1200,堀内岳志,2,0,0,0.0,0.0
中京,ダ,1200,堀宣行,2,0,1,0.0,0.5
中京,ダ,1200,大久保龍,1,0,0,0.0,0.0
中京,ダ,1200,大和田成,3,0,1,0.0,0.3333
中京,ダ,1200,大根田裕,2,0,1,0.0,0.5
中京,ダ,1200,大橋勇樹,7,0,1,0.0,0.1429
中京,ダ,1200,大江原哲,2,0,1,0.0,0.5
中京,ダ,1200,大竹正博,1,0,0,0.0,0.0
中京,ダ,1200,天間昭一,1,0,0,0.0,0.0
中京,ダ,1200,奥村豊,8,1,4,0.125,0.5
中京,ダ,1200,安田隆行,6,0,1,0.0,0.1667
中京,ダ,1200,安達昭夫,10,0,4,0.0,0.4
中京,ダ,1200,宮徹,11,0,2,0.0,0.1818
中京,ダ,1200,宮田敬介,1,0,0,0.0,0.0
中京,ダ,1200,寺島良,5,0,1,0.0,0.2
中京,ダ,1200,小島茂之,1,0,0,0.0,0.0
中京,ダ,1200,小崎憲,2,0,0,0.0,0.0
中京,ダ,1200,小手川準,2,0,1,0.0,0.5
中京,ダ,1200,小林真也,7,1,3,0.1429,0.4286
中京,ダ,1200,小西一男,1,0,0,0.0,0.0
中京,ダ,1200,小野次郎,5,0,1,0.0,0.2
中京,ダ,1200,尾形和幸,2,0,0,0.0,0.0
中京,ダ,1200,尾関知人,1,0,0,0.0,0.0
中京,ダ,1200,岡田稲男,4,1,1,0.25,0.25
中京,ダ,1200,岩戸孝樹,1,0,0,0.0,0.0
中京,ダ,1200,川村禎彦,2,0,0,0.0,0.0
中京,ダ,1200,庄野靖志,7,0,1,0.0,0.1429
中京,ダ,1200,戸田博文,1,0,0,0.0,0.0
中京,ダ,1200,手塚貴久,1,0,0,0.0,0.0
中京,ダ,1200,斉藤崇史,1,0,0,0.0,0.0
中京,ダ,1200,斎藤誠,2,0,1,0.0,0.5
中京,ダ,1200,昆貢,2,0,0,0.0,0.0
中京,ダ,1200,服部利之,3,0,0,0.0,0.0
中京,ダ,1200,木原一良,6,0,1,0.0,0.1667
中京,ダ,1200,本田優,5,0,1,0.0,0.2
中京,ダ,1200,本間忍,3,0,0,0.0,0.0
中京,ダ,1200,杉山佳明,10,2,3,0.2,0.3
中京,ダ,1200,杉山晴紀,12,2,4,0.1667,0.3333
中京,ダ,1200,杉浦宏昭,2,0,1,0.0,0.5
中京,ダ,1200,村山明,4,0,0,0.0,0.0
中京,ダ,1200,村田一誠,4,0,0,0.0,0.0
中京,ダ,1200,松下武士,1,0,0,0.0,0.0
中京,ダ,1200,松山将樹,1,0,0,0.0,0.0
中京,ダ,1200,松永幹夫,3,0,0,0.0,0.0
中京,ダ,1200,松永昌博,4,1,1,0.25,0.25
中京,ダ,1200,栗田徹,1,0,0,0.0,0.0
中京,ダ,1200,根本康広,5,1,1,0.2,0.2
中京,ダ,1200,梅田智之,6,0,0,0.0,0.0
中京,ダ,1200,森田直行,1,0,0,0.0,0.0
中京,ダ,1200,森秀行,10,2,3,0.2,0.3
中京,ダ,1200,橋口慎介,2,0,0,0.0,0.0
中京,ダ,1200,橋田満,4,0,0,0.0,0.0
中京,ダ,1200,武井亮,3,0,0,0.0,0.0
中京,ダ,1200,武幸四郎,5,0,0,0.0,0.0
中京,ダ,1200,武英智,8,1,2,0.125,0.25
中京,ダ,1200,武藤善則,3,0,0,0.0,0.0
中京,ダ,1200,水野貴広,1,0,0,0.0,0.0
