場所,芝ダ,距離,勝ち方,母数,勝利数,複勝数,単勝率,複勝率
中京,ダ,1200,先行押し切り,135,16,45,0.1185,0.3333
中京,ダ,1200,差し,211,10,31,0.0474,0.1469
中京,ダ,1200,追い込み,185,5,19,0.027,0.1027
中京,ダ,1200,逃げ切り,37,6,17,0.1622,0.4595
中京,ダ,1400,先行押し切り,163,20,52,0.1227,0.319
中京,ダ,1400,差し,254,17,45,0.0669,0.1772
中京,ダ,1400,追い込み,204,6,25,0.0294,0.1225
中京,ダ,1400,逃げ切り,44,1,11,0.0227,0.25
中京,ダ,1800,まくり,10,1,2,0.1,0.2
中京,ダ,1800,先行押し切り,204,24,84,0.1176,0.4118
中京,ダ,1800,差し,260,14,55,0.0538,0.2115
中京,ダ,1800,追い込み,233,11,23,0.0472,0.0987
中京,ダ,1800,逃げ切り,70,13,22,0.1857,0.3143
中京,ダ,1900,まくり,3,0,1,0.0,0.3333
中京,ダ,1900,先行押し切り,87,14,35,0.1609,0.4023
中京,ダ,1900,差し,115,8,22,0.0696,0.1913
中京,ダ,1900,追い込み,101,2,7,0.0198,0.0693
中京,ダ,1900,逃げ切り,29,1,10,0.0345,0.3448
中京,芝,1200,先行押し切り,78,9,21,0.1154,0.2692
中京,芝,1200,差し,124,7,24,0.0565,0.1935
中京,芝,1200,追い込み,101,1,10,0.0099,0.099
中京,芝,1200,逃げ切り,22,5,11,0.2273,0.5
中京,芝,1400,先行押し切り,116,13,34,0.1121,0.2931
中京,芝,1400,差し,173,15,35,0.0867,0.2023
中京,芝,1400,追い込み,132,3,17,0.0227,0.1288
中京,芝,1400,逃げ切り,32,1,10,0.0312,0.3125
中京,芝,1600,まくり,3,0,1,0.0,0.3333
中京,芝,1600,先行押し切り,147,14,48,0.0952,0.3265
中京,芝,1600,差し,170,11,45,0.0647,0.2647
中京,芝,1600,追い込み,148,5,16,0.0338,0.1081
中京,芝,1600,逃げ切り,45,13,19,0.2889,0.4222
中京,芝,2000,まくり,12,0,4,0.0,0.3333
中京,芝,2000,先行押し切り,169,23,67,0.1361,0.3964
中京,芝,2000,差し,175,14,41,0.08,0.2343
中京,芝,2000,追い込み,150,5,19,0.0333,0.1267
中京,芝,2000,逃げ切り,55,10,25,0.1818,0.4545
中京,芝,2200,まくり,4,1,3,0.25,0.75
中京,芝,2200,先行押し切り,104,14,33,0.1346,0.3173
中京,芝,2200,差し,82,7,26,0.0854,0.3171
中京,芝,2200,追い込み,85,4,15,0.0471,0.1765
中京,芝,2200,逃げ切り,30,3,10,0.1,0.3333
中山,ダ,1200,先行押し切り,342,45,120,0.1316,0.3509
中山,ダ,1200,差し,538,22,83,0.0409,0.1543
中山,ダ,1200,追い込み,466,4,40,0.0086,0.0858
中山,ダ,1200,逃げ切り,94,23,39,0.2447,0.4149
中山,ダ,1800,まくり,20,3,14,0.15,0.7
中山,ダ,1800,先行押し切り,352,49,130,0.1392,0.3693
中山,ダ,1800,差し,522,22,94,0.0421,0.1801
中山,ダ,1800,追い込み,448,5,26,0.0112,0.058
中山,ダ,1800,逃げ切り,114,24,42,0.2105,0.3684
中山,ダ,2400,まくり,2,0,0,0.0,0.0
中山,ダ,2400,先行押し切り,59,8,22,0.1356,0.3729
中山,ダ,2400,差し,84,2,16,0.0238,0.1905
中山,ダ,2400,追い込み,74,1,4,0.0135,0.0541
中山,ダ,2400,逃げ切り,18,5,6,0.2778,0.3333
中山,ダ,2500,まくり,1,0,0,0.0,0.0
中山,ダ,2500,先行押し切り,5,2,4,0.4,0.8
中山,ダ,2500,差し,8,0,2,0.0,0.25
中山,ダ,2500,追い込み,5,0,0,0.0,0.0
中山,ダ,2500,逃げ切り,3,0,0,0.0,0.0
中山,芝,1200,先行押し切り,152,20,55,0.1316,0.3618
中山,芝,1200,差し,203,10,35,0.0493,0.1724
中山,芝,1200,追い込み,170,4,15,0.0235,0.0882
中山,芝,1200,逃げ切り,41,7,19,0.1707,0.4634
中山,芝,1600,まくり,8,1,3,0.125,0.375
中山,芝,1600,先行押し切り,202,27,78,0.1337,0.3861
中山,芝,1600,差し,265,14,53,0.0528,0.2
中山,芝,1600,追い込み,221,4,14,0.0181,0.0633
中山,芝,1600,逃げ切り,66,12,26,0.1818,0.3939
中山,芝,1800,まくり,5,0,2,0.0,0.4
中山,芝,1800,先行押し切り,127,18,54,0.1417,0.4252
中山,芝,1800,差し,145,9,35,0.0621,0.2414
