日付S,場所,Ｒ,レース名,馬番,馬名,着順,確定着順,単勝配当,複勝配当,前走場所,前芝・ダ,前距離,前走頭数,前走出走頭数,前3角,前4角,前走競馬場,前走芝ダ,前走距離数値,前走頭数_final,前3角_final,前4角_final,前3角相対位置,前3角位置カテゴリ,前4角相対位置,前4角位置カテゴリ,win_flag,place_flag,単勝払戻,複勝払戻
2023.4.16,福島,12,１勝ｸﾗｽ,3,サノノヒーロー,１,1,3030,640.0,中山,ダ,1200.0,16.0,16.0,7.0,6.0,中山,ダ,1200.0,16.0,7.0,6.0,0.4375,4-6番手,0.375,4-6番手,1,1,3030.0,640.0
2023.4.16,福島,12,１勝ｸﾗｽ,1,ダレモトメラレナイ,２,2,(1.9),140.0,小倉,芝,1200.0,12.0,12.0,2.0,2.0,小倉,芝,1200.0,12.0,2.0,2.0,0.16666666666666666,2-3番手,0.16666666666666666,2-3番手,0,1,0.0,140.0
2023.4.16,福島,12,１勝ｸﾗｽ,6,キリシマタウン,３,3,(174.4),2740.0,福島,ダ,1150.0,16.0,16.0,7.0,9.0,福島,ダ,1150.0,16.0,7.0,9.0,0.4375,4-6番手,0.5625,7-10番手,0,1,0.0,2740.0
2023.4.16,福島,12,１勝ｸﾗｽ,12,サンダビューク,４,4,(7.0),,中山,ダ,1200.0,16.0,16.0,7.0,7.0,中山,ダ,1200.0,16.0,7.0,7.0,0.4375,4-6番手,0.4375,4-6番手,0,0,0.0,0.0
2023.4.16,福島,12,１勝ｸﾗｽ,2,ブルーノート,５,5,(9.7),,中京,ダ,1200.0,16.0,16.0,11.0,11.0,中京,ダ,1200.0,16.0,11.0,11.0,0.6875,7-10番手,0.6875,7-10番手,0,0,0.0,0.0
2023.4.16,福島,12,１勝ｸﾗｽ,5,アスクドンキバック,６,6,(51.2),,中京,ダ,1200.0,16.0,16.0,16.0,16.0,中京,ダ,1200.0,16.0,16.0,16.0,1.0,11番手以下,1.0,11番手以下,0,0,0.0,0.0
2023.4.16,福島,12,１勝ｸﾗｽ,11,ドラゴンゴクウ,７,7,(17.1),,中山,ダ,1200.0,16.0,16.0,8.0,9.0,中山,ダ,1200.0,16.0,8.0,9.0,0.5,7-10番手,0.5625,7-10番手,0,0,0.0,0.0
2023.4.16,福島,12,１勝ｸﾗｽ,15,フロスティクォーツ,８,8,(24.8),,中京,ダ,1400.0,16.0,16.0,4.0,4.0,中京,ダ,1400.0,16.0,4.0,4.0,0.25,2-3番手,0.25,2-3番手,0,0,0.0,0.0
2023.4.16,福島,12,１勝ｸﾗｽ,16,リオンラファール,９,9,(12.8),,中山,ダ,1200.0,16.0,16.0,7.0,8.0,中山,ダ,1200.0,16.0,7.0,8.0,0.4375,4-6番手,0.5,7-10番手,0,0,0.0,0.0
2023.4.16,福島,12,１勝ｸﾗｽ,14,シルバーキングダム,10,10,(6.9),,中京,ダ,1200.0,16.0,16.0,4.0,4.0,中京,ダ,1200.0,16.0,4.0,4.0,0.25,2-3番手,0.25,2-3番手,0,0,0.0,0.0
2023.4.16,福島,12,１勝ｸﾗｽ,10,ヴァーチュアス,11,11,(94.6),,中京,ダ,1200.0,16.0,16.0,5.0,5.0,中京,ダ,1200.0,16.0,5.0,5.0,0.3125,4-6番手,0.3125,4-6番手,0,0,0.0,0.0
2023.4.16,福島,12,１勝ｸﾗｽ,13,グランデ,12,12,(32.1),,中京,ダ,1200.0,15.0,15.0,8.0,7.0,中京,ダ,1200.0,15.0,8.0,7.0,0.5333333333333333,7-10番手,0.4666666666666667,7-10番手,0,0,0.0,0.0
2023.4.16,福島,12,１勝ｸﾗｽ,9,チョコレートミルク,13,13,(207.4),,中京,ダ,1200.0,16.0,16.0,1.0,2.0,中京,ダ,1200.0,16.0,1.0,2.0,0.0625,1番手,0.125,2-3番手,0,0,0.0,0.0
2023.4.16,福島,12,１勝ｸﾗｽ,4,グラティトゥー,14,14,(65.8),,阪神,芝,1600.0,14.0,14.0,5.0,5.0,阪神,芝,1600.0,14.0,5.0,5.0,0.35714285714285715,4-6番手,0.35714285714285715,4-6番手,0,0,0.0,0.0
2023.4.16,福島,12,１勝ｸﾗｽ,7,ドリアード,15,15,(24.2),,中京,芝,1400.0,18.0,18.0,13.0,13.0,中京,芝,1400.0,18.0,13.0,13.0,0.7222222222222222,7-10番手,0.7222222222222222,7-10番手,0,0,0.0,0.0
2023.4.16,福島,12,１勝ｸﾗｽ,8,サンマルセレッソ,16,16,(140.5),,福島,ダ,1150.0,16.0,16.0,9.0,9.0,福島,ダ,1150.0,16.0,9.0,9.0,0.5625,7-10番手,0.5625,7-10番手,0,0,0.0,0.0
2023.4.16,福島,11,福島民Ｈ(L),7,カレンルシェルブル,１,1,410,180.0,東京,芝,2000.0,10.0,10.0,6.0,8.0,東京,芝,2000.0,10.0,6.0,8.0,0.6,7-10番手,0.8,7-10番手,1,1,410.0,180.0
2023.4.16,福島,11,福島民Ｈ(L),3,エリオトローピオ,２,2,(11.3),340.0,中山,芝,1800.0,16.0,16.0,9.0,9.0,中山,芝,1800.0,16.0,9.0,9.0,0.5625,7-10番手,0.5625,7-10番手,0,1,0.0,340.0
2023.4.16,福島,11,福島民Ｈ(L),11,プライドランド,３,3,(18.8),450.0,阪神,芝,1800.0,16.0,16.0,4.0,4.0,阪神,芝,1800.0,16.0,4.0,4.0,0.25,2-3番手,0.25,2-3番手,0,1,0.0,450.0
2023.4.16,福島,11,福島民Ｈ(L),2,テーオーシリウス,４,4,(8.2),,中山,芝,2000.0,13.0,12.0,1.0,1.0,中山,芝,2000.0,12.0,1.0,1.0,0.08333333333333333,1番手,0.08333333333333333,1番手,0,0,0.0,0.0
2023.4.16,福島,11,福島民Ｈ(L),13,ジェットモーション,５,5,(47.0),,阪神,芝,1800.0,16.0,16.0,9.0,9.0,阪神,芝,1800.0,16.0,9.0,9.0,0.5625,7-10番手,0.5625,7-10番手,0,0,0.0,0.0
2023.4.16,福島,11,福島民Ｈ(L),9,ロングラン,６,6,(4.6),,小倉,芝,1800.0,16.0,16.0,6.0,7.0,小倉,芝,1800.0,16.0,6.0,7.0,0.375,4-6番手,0.4375,4-6番手,0,0,0.0,0.0
2023.4.16,福島,11,福島民Ｈ(L),6,サトノエルドール,７,7,(29.6),,小倉,芝,1800.0,16.0,16.0,15.0,8.0,小倉,芝,1800.0,16.0,15.0,8.0,0.9375,11番手以下,0.5,7-10番手,0,0,0.0,0.0
2023.4.16,福島,11,福島民Ｈ(L),1,プレシャスブルー,８,8,(34.8),,阪神,芝,1800.0,16.0,16.0,15.0,15.0,阪神,芝,1800.0,16.0,15.0,15.0,0.9375,11番手以下,0.9375,11番手以下,0,0,0.0,0.0
2023.4.16,福島,11,福島民Ｈ(L),4,バイオスパーク,９,9,(32.2),,中京,芝,2000.0,12.0,12.0,11.0,12.0,中京,芝,2000.0,12.0,11.0,12.0,0.9166666666666666,11番手以下,1.0,11番手以下,0,0,0.0,0.0
2023.4.16,福島,11,福島民Ｈ(L),8,バジオウ,10,10,(3.7),,小倉,芝,1800.0,16.0,16.0,2.0,1.0,小倉,芝,1800.0,16.0,2.0,1.0,0.125,2-3番手,0.0625,1番手,0,0,0.0,0.0
2023.4.16,福島,11,福島民Ｈ(L),5,プリマヴィスタ,11,11,(20.1),,小倉,芝,2000.0,15.0,15.0,10.0,14.0,小倉,芝,2000.0,15.0,10.0,14.0,0.6666666666666666,7-10番手,0.9333333333333333,11番手以下,0,0,0.0,0.0
2023.4.16,福島,11,福島民Ｈ(L),14,フォワードアゲン,12,12,(14.5),,小倉,芝,1800.0,16.0,16.0,9.0,12.0,小倉,芝,1800.0,16.0,9.0,12.0,0.5625,7-10番手,0.75,7-10番手,0,0,0.0,0.0
